Start Time (UTC);Stop Time (UTC);Duration (s)
22 Apr 2026 15:52:24.017;22 Apr 2026 16:00:18.928;474.91083088
23 Apr 2026 01:05:48.848;23 Apr 2026 01:11:34.180;345.33226867
23 Apr 2026 02:39:10.504;23 Apr 2026 02:48:21.193;550.68952114
23 Apr 2026 14:25:52.262;23 Apr 2026 14:34:22.508;510.24653051
23 Apr 2026 16:01:45.422;23 Apr 2026 16:09:01.920;436.49869388
24 Apr 2026 01:14:20.155;24 Apr 2026 01:21:04.538;404.38243715
24 Apr 2026 02:48:27.122;24 Apr 2026 02:57:19.672;532.54971716
24 Apr 2026 14:34:48.226;24 Apr 2026 14:43:41.930;533.70428053
24 Apr 2026 16:11:10.912;24 Apr 2026 16:17:38.508;387.59661962
25 Apr 2026 01:22:58.380;25 Apr 2026 01:30:28.366;449.98582180
25 Apr 2026 02:57:47.365;25 Apr 2026 03:06:14.661;507.29578177
25 Apr 2026 14:43:46.603;25 Apr 2026 14:52:56.829;550.22574813
25 Apr 2026 16:20:42.741;25 Apr 2026 16:26:06.408;323.66791192
26 Apr 2026 01:31:41.650;26 Apr 2026 01:39:47.502;485.85206541
26 Apr 2026 03:07:11.894;26 Apr 2026 03:15:05.502;473.60820360
26 Apr 2026 14:52:47.006;26 Apr 2026 15:02:07.599;560.59343638
26 Apr 2026 16:30:26.793;26 Apr 2026 16:34:19.703;232.91002025
27 Apr 2026 01:40:28.968;27 Apr 2026 01:49:02.910;513.94146967
27 Apr 2026 03:16:41.818;27 Apr 2026 03:23:51.099;429.28107593
27 Apr 2026 15:01:49.188;27 Apr 2026 15:11:14.486;565.29778372
28 Apr 2026 01:49:19.746;28 Apr 2026 01:58:15.148;535.40187712
28 Apr 2026 03:26:19.190;28 Apr 2026 03:32:29.412;370.22237268
28 Apr 2026 15:10:53.011;28 Apr 2026 15:20:17.630;564.61865249
29 Apr 2026 01:58:13.622;29 Apr 2026 02:07:24.554;550.93216121
29 Apr 2026 03:36:08.700;29 Apr 2026 03:40:55.771;287.07069510
29 Apr 2026 13:47:17.232;29 Apr 2026 13:50:22.285;185.05268547
29 Apr 2026 15:19:58.416;29 Apr 2026 15:29:17.080;558.66441219
30 Apr 2026 02:07:10.376;30 Apr 2026 02:16:31.323;560.94706741
30 Apr 2026 03:46:29.482;30 Apr 2026 03:48:51.069;141.58741190
30 Apr 2026 13:55:23.540;30 Apr 2026 14:00:31.353;307.81220275
30 Apr 2026 15:29:05.425;30 Apr 2026 15:38:12.808;547.38365526
