Start Time (UTC);Stop Time (UTC);Duration (s);Occ Body;Type;Event Number;Total Duration (s)
22 Apr 2026 15:03:39.700;22 Apr 2026 15:03:48.782;9.0823124978;Earth;Penumbra;1;2084.0255203
22 Apr 2026 15:03:48.782;22 Apr 2026 15:38:14.601;2065.8189674;Earth;Umbra;1;2084.0255203
22 Apr 2026 15:38:14.601;22 Apr 2026 15:38:23.726;9.1242404538;Earth;Penumbra;1;2084.0255203
22 Apr 2026 16:40:16.972;22 Apr 2026 16:40:26.053;9.0815876727;Earth;Penumbra;2;2084.0702621
22 Apr 2026 16:40:26.053;22 Apr 2026 17:14:51.918;2065.8648228;Earth;Umbra;2;2084.0702621
22 Apr 2026 17:14:51.918;22 Apr 2026 17:15:01.042;9.1238516383;Earth;Penumbra;2;2084.0702621
22 Apr 2026 18:16:54.251;22 Apr 2026 18:17:03.332;9.0809439425;Earth;Penumbra;3;2084.1247620
22 Apr 2026 18:17:03.332;22 Apr 2026 18:51:29.252;2065.9202219;Earth;Umbra;3;2084.1247620
22 Apr 2026 18:51:29.252;22 Apr 2026 18:51:38.376;9.1235960950;Earth;Penumbra;3;2084.1247620
22 Apr 2026 19:53:31.522;22 Apr 2026 19:53:40.602;9.0804224834;Earth;Penumbra;4;2084.1767598
22 Apr 2026 19:53:40.602;22 Apr 2026 20:28:06.576;2065.9732659;Earth;Umbra;4;2084.1767598
22 Apr 2026 20:28:06.576;22 Apr 2026 20:28:15.699;9.1230714926;Earth;Penumbra;4;2084.1767598
22 Apr 2026 21:30:08.767;22 Apr 2026 21:30:17.846;9.0798340738;Earth;Penumbra;5;2084.2106522
22 Apr 2026 21:30:17.846;22 Apr 2026 22:04:43.855;2066.0086688;Earth;Umbra;5;2084.2106522
22 Apr 2026 22:04:43.855;22 Apr 2026 22:04:52.977;9.1221492738;Earth;Penumbra;5;2084.2106522
22 Apr 2026 23:06:45.970;22 Apr 2026 23:06:55.049;9.0789363720;Earth;Penumbra;6;2084.2283786
22 Apr 2026 23:06:55.049;22 Apr 2026 23:41:21.077;2066.0283812;Earth;Umbra;6;2084.2283786
22 Apr 2026 23:41:21.077;22 Apr 2026 23:41:30.198;9.1210610932;Earth;Penumbra;6;2084.2283786
23 Apr 2026 00:43:23.132;23 Apr 2026 00:43:32.209;9.0777843841;Earth;Penumbra;7;2084.2475956
23 Apr 2026 00:43:32.209;23 Apr 2026 01:17:58.259;2066.0496981;Earth;Umbra;7;2084.2475956
23 Apr 2026 01:17:58.259;23 Apr 2026 01:18:07.379;9.1201130999;Earth;Penumbra;7;2084.2475956
23 Apr 2026 02:20:09.388;23 Apr 2026 02:54:35.469;2066.0812227;Earth;Umbra;8;2075.2006037
23 Apr 2026 02:54:35.469;23 Apr 2026 02:54:44.588;9.1193810455;Earth;Penumbra;8;2075.2006037
23 Apr 2026 03:56:37.592;23 Apr 2026 03:56:46.668;9.0759383747;Earth;Penumbra;9;2084.3091001
23 Apr 2026 03:56:46.668;23 Apr 2026 04:31:12.783;2066.1144901;Earth;Umbra;9;2084.3091001
23 Apr 2026 04:31:12.783;23 Apr 2026 04:31:21.902;9.1186716221;Earth;Penumbra;9;2084.3091001
23 Apr 2026 05:33:14.957;23 Apr 2026 05:33:24.032;9.0752157499;Earth;Penumbra;10;2075.2168394
23 Apr 2026 05:33:24.032;23 Apr 2026 06:07:50.173;2066.1416236;Earth;Umbra;10;2075.2168394
23 Apr 2026 07:09:52.264;23 Apr 2026 07:10:01.339;9.0742894448;Earth;Penumbra;11;2084.3582191
23 Apr 2026 07:10:01.339;23 Apr 2026 07:44:27.506;2066.1671003;Earth;Umbra;11;2084.3582191
23 Apr 2026 07:44:27.506;23 Apr 2026 07:44:36.623;9.1168293846;Earth;Penumbra;11;2084.3582191
23 Apr 2026 08:46:29.428;23 Apr 2026 08:46:38.501;9.0732116369;Earth;Penumbra;12;2084.3874595
23 Apr 2026 08:46:38.501;23 Apr 2026 09:21:04.699;2066.1982005;Earth;Umbra;12;2084.3874595
23 Apr 2026 09:21:04.699;23 Apr 2026 09:21:13.815;9.1160473530;Earth;Penumbra;12;2084.3874595
23 Apr 2026 10:23:06.516;23 Apr 2026 10:23:15.588;9.0722271823;Earth;Penumbra;13;2084.4225095
23 Apr 2026 10:23:15.588;23 Apr 2026 10:57:41.823;2066.2348425;Earth;Umbra;13;2084.4225095
23 Apr 2026 10:57:41.823;23 Apr 2026 10:57:50.939;9.1154397698;Earth;Penumbra;13;2084.4225095
23 Apr 2026 11:59:43.644;23 Apr 2026 11:59:52.715;9.0714492369;Earth;Penumbra;14;2084.4585851
23 Apr 2026 11:59:52.715;23 Apr 2026 12:34:18.988;2066.2723907;Earth;Umbra;14;2084.4585851
23 Apr 2026 12:34:18.988;23 Apr 2026 12:34:28.102;9.1147451196;Earth;Penumbra;14;2084.4585851
23 Apr 2026 13:36:29.906;23 Apr 2026 14:10:56.214;2066.3084280;Earth;Umbra;15;2075.4223326
23 Apr 2026 14:10:56.214;23 Apr 2026 14:11:05.328;9.1139046242;Earth;Penumbra;15;2075.4223326
23 Apr 2026 15:12:58.056;23 Apr 2026 15:13:07.126;9.0700816247;Earth;Penumbra;16;2084.5294322
23 Apr 2026 15:13:07.126;23 Apr 2026 15:47:33.472;2066.3461378;Earth;Umbra;16;2084.5294322
23 Apr 2026 15:47:33.472;23 Apr 2026 15:47:42.585;9.1132128029;Earth;Penumbra;16;2084.5294322
23 Apr 2026 16:49:35.290;23 Apr 2026 16:49:44.359;9.0693671722;Earth;Penumbra;17;2075.4617589
23 Apr 2026 16:49:44.359;23 Apr 2026 17:24:10.751;2066.3923917;Earth;Umbra;17;2075.4617589
23 Apr 2026 18:26:12.531;23 Apr 2026 18:26:21.600;9.0687451302;Earth;Penumbra;18;2084.6290362
23 Apr 2026 18:26:21.600;23 Apr 2026 19:00:48.047;2066.4476834;Earth;Umbra;18;2084.6290362
23 Apr 2026 19:00:48.047;23 Apr 2026 19:00:57.160;9.1126077343;Earth;Penumbra;18;2084.6290362
23 Apr 2026 20:02:49.762;23 Apr 2026 20:02:58.830;9.0682359296;Earth;Penumbra;19;2084.6790347
23 Apr 2026 20:02:58.830;23 Apr 2026 20:37:25.329;2066.4987446;Earth;Umbra;19;2084.6790347
23 Apr 2026 20:37:25.329;23 Apr 2026 20:37:34.441;9.1120542143;Earth;Penumbra;19;2084.6790347
23 Apr 2026 21:39:26.965;23 Apr 2026 21:39:36.033;9.0676321182;Earth;Penumbra;20;2084.7099542
23 Apr 2026 21:39:36.033;23 Apr 2026 22:14:02.564;2066.5312108;Earth;Umbra;20;2084.7099542
23 Apr 2026 22:14:02.564;23 Apr 2026 22:14:11.675;9.1111112502;Earth;Penumbra;20;2084.7099542
23 Apr 2026 23:16:04.126;23 Apr 2026 23:16:13.192;9.0667061275;Earth;Penumbra;21;2084.7260735
23 Apr 2026 23:16:13.192;23 Apr 2026 23:50:39.742;2066.5493324;Earth;Umbra;21;2084.7260735
23 Apr 2026 23:50:39.742;23 Apr 2026 23:50:48.852;9.1100350139;Earth;Penumbra;21;2084.7260735
24 Apr 2026 00:52:41.247;24 Apr 2026 00:52:50.313;9.0655553970;Earth;Penumbra;22;2084.7454766
